knob,current,codeAnchor,notes
enemy_ev_cap_T1,0,_storyDowngradeBuildForTier,untrained route fodder
enemy_ev_cap_T2,220,_storyDowngradeBuildForTier,novice
enemy_ev_cap_T3,420,_storyDowngradeBuildForTier,competent
enemy_ev_cap_T4,510,(no downgrade),tournament / full Smogon
enemy_iv_T1,0-15,STORY_IV_TIER_RANGES,see story-iv-tiers.csv
enemy_iv_T2,10-22,STORY_IV_TIER_RANGES,
enemy_iv_T3,18-28,STORY_IV_TIER_RANGES,
enemy_iv_T4,26-31,STORY_IV_TIER_RANGES,ace rolls top quartile (30-31)
tier_by_GL,"GL1-2=T1, GL3-5=T2, GL6-7=T3, GL8=T4",_storyBuildTierForEvent,E1-4/Champ/Mystery always T4
foe_stat_mult_preGym1,0.82,PRE_GYM1_FOE_STAT_MULT,non-GL fights at 0 badges
foe_stat_mult_early,0.92,EARLY_GAME_FOE_STAT_MULT,
foe_stat_mult_earlyGL,0.95,EARLY_GL_FOE_STAT_MULT,GL1 / GL2
foe_stat_mult_stage2GL,0.97,STAGE2_GL_FOE_STAT_MULT,GL3
foe_stat_mult_GL6_7,1.05,_stageGatedFoeStatMult,
foe_stat_mult_GL8,1.10,_stageGatedFoeStatMult,
foe_stat_mult_E1_4,1.15,_stageGatedFoeStatMult,
foe_stat_mult_champ_mystery,1.20,_stageGatedFoeStatMult,
difficulty_mult_veryeasy,0.70,applyFoeDifficultyScaling,
difficulty_mult_easy,0.85,applyFoeDifficultyScaling,
difficulty_mult_normal,1.00,applyFoeDifficultyScaling,
difficulty_mult_hard,1.15,applyFoeDifficultyScaling,
difficulty_mult_challenge,1.30,applyFoeDifficultyScaling,
enemy_ev_nudge,+20 to best-2 stats (T2/T3 from badge 4),_storyMaybeNudgeFoeEVs,
party_cap,"max(2, min(6, 2+badges)) -> 6 at 4 badges",_storyMaxPartySize,
enemy_team_size,min(6 2+badges) + finale floors,_storyEnemyPartySize,
catch_base_g1,0.12,catch math,stronger grades are harder
catch_base_g2,0.22,catch math,
catch_base_g3,0.35,catch math,
catch_base_g4,0.50,catch math,
ball_mult_poke/great/ultra,1.0 / 1.5 / 2.0,catch math,master = guaranteed
safari_ball_mult,1.35,enterSafariZone,session-only
wild_grade_cap,G3 (G2 leaks 3-8% late),_WILD_GRADE_CURVE_BY_BADGES,Safari is the only G1/G2 route
player_iv_cap_base,31,buildPokemon,vitamins +3 each toward 31 (drop-only)
player_iv_cap_max,36,buildPokemon,31 + Fight Club +5
egg_hatch_gate,badge>=7 -> REDESIGN: laidCity+2,STORY_EGG_HATCH_BADGE,relative hatch (C4 if laid at C2)
daycare_debut,Gym1 clear -> REDESIGN: facility at C2/C4/C6 (one egg/run),sm.daycare.unlocked,
fightclub_instances,6-badge secret -> REDESIGN: C6 one-time + League(C9 pre-E4) + endgame,_pitsIsUnlocked,
fightclub_rounds,3 -> REDESIGN: 5,_pitsRollEnemyRoster,5 rounds of 3v3 (tunable; user floated 10)
fightclub_iv_reward,+1 all stats on full clear -> REDESIGN: +1/round (sweep = +5 -> 36),_pitsResolveBracket,cap 36
