RIVAL COUNTER MECHANIC (the only DYNAMIC trainer). Pure counter team, no signatures, Gym-Leader power level.;
Rule;Detail
Goal;Hard-counter the player's CURRENT party every encounter
Scored counter list;Every attack type that is super-effective (>=2x) against at least one LIVE party mon, sorted by total punish score (sum of effectiveness^2 over SE matchups)
Slot assignment;Field one mon per type top-down, DISTINCT first; when there are more slots (6) than counter types, CYCLE back through the list (fire steel rock dark -> fire steel)
Per-mon typing;Each mon only needs the counter type as ONE of its types - dual is fine, the second type is ignored. Never mono-type while counters remain
Power;Gym-Leader build tier (NOVICE -> COMPETENT -> TOURNAMENT by badges)
Dynamic re-roll;Rival roll is UNSEEDED. Flee + swap your team + re-enter = a fresh counter to the new party. A mid-fight reload keeps the same team (lock survives; retreat clears it for rival rows only)
Intro rival;At the first encounter (vs your lone starter) the rival leads with the GB starter-triangle answer (Grass->Fire, Fire->Water, Water->Grass)
Nameplate;Reads "<player name> Sucks" (taunt), canonical dialogue pool preserved
Example;Your party hit hardest by [Fire, Steel, Rock, Dark] over 6 slots -> Fire, Steel, Rock, Dark, Fire, Steel. By [Fire,Steel,Rock,Dark,Fight,Grass,Psychic,Ghost] -> top 6: Fire,Steel,Rock,Dark,Fight,Grass
ANCHORS;_rivalBuildCounterTypePool, _rivalPickSpeciesForAttackType, _rivalIntroStarterCounterType, rollTrainerTeam (Rival branch)
