city,boss,evTier,ivBandAce,foeStatMult,forcedGimmicks,subTrainerGrade,wildGradeMix,profGiftTier,escalatorNotes
0,Intro Rival,T1,11-15,0.82,0,-,100% G4,T1 (G3 floor),evo-cap = basics only
1,Gym1,T1,11-15,0.95,0,-,g3:25/g4:75,T1,sig ace 0.85; evo-cap basics
2,Gym2,T1,11-15,0.95,0,-,g3:35/g4:65,T1,evo-cap -> first-evos; grade ramp begins (k=0.20)
3,Gym3,T2,19-22,0.97,0,-,g3:60/g4:40,T2,FIRST REAL STEP (T1->T2); early softening ends
4,Gym4,T2,19-22,1.00,0,-,g3:85/g4:15,T2,post-G4 EV nudge (+20 best stats, 510-clamp)
5,Gym5,T2,19-22,1.00,0,g2:5-15,g3:100,T2,DEAD ZONE: identical to GL4 on every axis
6,Gym6,T3,26-28,1.05,1,g2 leak,g3:97/g2:3,T3 (last prof city),double-step (T2->T3 +8 IV); enemy mechanics unlock; grade k=0.40
7,Gym7,T3,26-28,1.10,2,g2:35-80,g3:95/g2:5,-,2 forced gimmicks
8,Gym8,T4,29-31,1.10,3,g2:100,g3:92/g2:8,-,WALL: T3->T4 + IV 18->26 + 3 gimmicks + pure-G2 subs + post-G8 legendary gate
9,League E1-Champ,T4,29-31,1.15-1.20,2-4 (Mystery 6),g1:30->100,n/a,-,illegal-build injection (E1=1/Champ=2/Mystery=3); Champion mult 1.20
