key,label,debutCity,mandatoryIntro,firstVisitPerk,perkSaves,status,notes
relic,Artifact Store,0,yes,1st artifact free,~5000G,verify,Always-on RNG-negator per charter; confirm it is exposed in C0 action list
moveTutor,Move Tutor,0,yes,,,fix,Charter always-on but currently skips C1 — add to every city
natureRater,Nature Rater,0,yes,,,fix,Charter always-on but currently skips C1-C2 — add to every city
link,Link Station,2,yes,,,current,Cable/trade-evolution link
stoneShop,Stone Shop,2,yes,Stonewise Token: 1 free stone,500G,current,Feeds the Stone Sage's stone/trade-item evolutions
evolab,Stone Sage,2,yes,,,current,Evolution Tutor; grade-gated to the era (G3 until C6)
safari,Safari Zone,4,yes,1st entry free,10000G,current,Only route to G1/G2 catches
dojo,Battle Dojo,4,yes,Emblem of Honor: 1 free ability swap,,current,Ability Capsule service
evtrainer,EV Trainer,4,yes,Vitamin Pack: 1 free EV preset,~5000G,current,Only EV source; 510-preset fills
colress,Colress,6,yes,,,current,Gimmick form (Mega/Z/Dmax/Tera); needs a mechanic toggle on
dept,Department Store,6,yes,,,current,Cyclic — present C6/C8/C9
casino,Poke Casino,5,yes,,,current,Cyclic — present C5/C9
fanclub,Fan Club,0,no,1 of each vitamin (once),,current,Opt-in every city; the welcome gift is +3 IV to each stat one time
daycare,Daycare Inn,2,yes,an Egg (the parent is lost),,redesign,"Static one-time @C2; mandatory first-time intro; egg hatches at laidCity+2 (C4); hatchling shares a parent type and is one grade stronger"
fightclub,Fight Club,"C2,C4,C6,League,endgame",yes,,,redesign,"5-round 3v3 draft gauntlet, a different trainer each round (see enemy's 6 / pick your 3 / enemy counter-picks its best 3 by matchup score). One-time escalating instances at C2/C4/C6 (first = the dramatic intro); a sweep grants IV toward the 36 cap (~+2 early, reaching +5 by C6). Then REPEATABLE before League (C9 pre-E4) + endgame to bring new mons to the cap + earn gold."
