Facility;C0;C1;C2;C3;C4;C5;C6;C7;C8;C9;Status vs spec;Notes
Pokemon Center;-;X;X;X;X;X;X;X;X;X;MATCH;Intro C1, then always
PokeMart;X;X;X;X;-;X;-;X;X;-;MATCH;Hidden at C4/C6/C9 where Department Store is present
Professor;X;X;X;X;X;X;X;-;swap;-;MATCH;Gift C0-C6. C8 = Mystery Figure swap after Gym 8. None after C6
Nature Rater;-;X;X;X;X;X;X;X;X;X;MATCH;
Link Station;-;-;X;X;X;X;X;X;X;X;MATCH;Debut C2
Stone Sage Stage 1;-;-;X;X;-;-;-;-;-;-;MISMATCH;Code spans C2-C3; sheet said C2 only. Facility itself present correctly
Stone Sage Stage 2;-;-;-;-;X;X;X;X;X;X;MATCH;Debut C4
Stone Shop;-;-;-;X;X;X;X;X;X;X;MATCH;Debut C3
Department Store;-;-;-;-;X;-;X;-;-;X;MATCH;C4,C6,C9
Safari Zone;-;-;-;-;-;X;-;-;-;X;MATCH;C5,C9
Poke Casino;-;-;-;-;-;X;-;-;-;X;MATCH;C5,C9
Colress (Power-Up);-;-;-;-;-;-;-;X;X;X;MATCH;C7-C9. Also requires a battle-form mechanic enabled in settings
EV Trainer;-;-;-;-;-;-;-;X;X;X;MATCH;C7-C9
Daycare;-;-;X;-;X;-;X;-;-;-;MATCH;C2,C4,C6 (+ unlock/business gates)
Fight Club;-;-;-;-;-;-;X;-;-;X;PARTIAL;Not a literal city gate - state machine: unlocks at 6+ badges via daycare secret then endgame loop (first appears ~C6, endgame C9)
Move Tutor L1 (Heart Scale);X;X;X;X;-;-;-;-;-;-;MATCH;C0-C3
Move Tutor L2 (TM Expert);-;-;-;-;X;X;X;X;X;X;MATCH;C4-C9
Battle Dojo L1 (White Belt);-;X;X;X;-;-;-;-;-;-;MATCH;C1-C3
Battle Dojo L2 (Black Belt);-;-;-;-;X;X;X;-;-;-;MATCH;C4-C6
Battle Dojo L3 (Grandmaster);-;-;-;-;-;-;-;X;X;X;MATCH;C7-C9
Relic Annex;X;-;-;X;-;-;X;-;-;X;MATCH;C0,C3,C6,C9
Artifact Hall;X;X;X;X;X;X;X;X;X;X;MATCH;Always
Pokemon Fan Club;-;X;X;X;X;X;X;X;X;X;MATCH;
Bag;X;X;X;X;X;X;X;X;X;X;MATCH;Always
Party Sort;-;X;X;X;X;X;X;X;X;X;MATCH;
LEGEND;X = available;- = not available;;;;;;;;;
