Main;Route no;Notes;Story 1 (Spine);Villain;Route no;Notes;Team Rocket;Team Magma;Team Aqua;Team Galactic;Team Plasma;Team Flare;Team Skull;Team Yell;Macro Cosmos;Team Star;Extra;Route No;Notes;Story 1 (Cubone);Story 2 (Yamask);Story 3 (Hypno);Story 4 (Phantump);Story 5 (Mimikyu);Story 6 (Drifloon);Story 7 (Parasect);Story 8 (Mewtwo)
Main Story 1;Road 1;anomaly seed - first quiet moment with starter;First step beyond C1 with the badge still warm. An old man on the path nods at you and says 'Off again. Tell me how it ends this time.' He says it like a joke. He doesn't smile.;Villain Story Event 1;Road 2;first grunt encounter - establish brand and dark angle;A Rocket grunt is buying a Slowpoke tail off a kid at the route stop, openly. The kid is laughing. The grunt is not. He sees your badge and waves you off - 'Stay in your lane, junior.';A Magma grunt is preaching on a stump. 'The land remembers. The land was a graveyard before it was a garden.' Listeners are nodding. Some are crying.;An Aqua grunt is teaching kids to swim by the river without a license. The kids love him. He tells them the river is a god and gods take what they want.;A Galactic grunt explains to a tourist that emotion is a wound the universe gave us and Cyrus has the bandage. The tourist tips him.;A Plasma sage stops a child carrying a Pokémon in a worn ball. He doesn't grab it. He just talks. The child puts the ball down and walks away crying.;A Flare grunt in expensive sunglasses asks if your starter is a 'purebred specimen.' He marks your jacket with a sticker and says you passed. He didn't wait for an answer.;Two Skull grunts try to fight you for your shoes. They are children. They are very serious about your shoes. One of them is crying behind their pose.;A Team Yell crowd outside a small-town gym shouts down a girl with twin tails. She doesn't react. They are buying tickets to her show in three weeks.;A Macro Cosmos sponsorship truck rolls into the next town and starts erasing the local gym's local sigil with the brand color. The mayor is signing the paperwork live.;A Star boss is sitting on a school's stairs. He's not there to fight anyone. He's there to keep something else from happening. He doesn't make eye contact.;Extra Story Event 1;Road 1;first hint - a glimpse, not the thing;A child on the route is wearing a skull mask for a school play. The mask is too big. The mask is real bone.;A child is staring at a mask in a shop window. The shopkeeper says it's a costume mask. The shopkeeper does not look at it directly.;A missing-persons poster at the route stop - a girl in a yellow shirt. The poster has been there for three years. The yellow has faded to the color of Hypno.;A child's shoe on the path, smaller than yours. There is no other shoe. The grass has not grown over it.;A child's drawing of 'Pikachu' is taped to a tree on Road 1. The drawing is very bad. The drawing is loved.;A balloon - purple, mylar - drifts past you. It is being held by a child. The child is not on Road 1. The child is one route over, in the wind.;A Paras in the route grass - too clean, the mushroom too bright. It is wearing the body like a coat.;A torn lab patch on the route, half-buried. The logo is one you've seen on a Department Store ad. The patch reads 'PROJECT - 0001.'
Main Story 2;Road 2;rumor accumulates - radio anomaly;Mid-game scene. The world starts to feel small. A Pokémart radio at the Road 3 rest stop is playing a song you have absolutely heard before. The clerk doesn't react. Your map has a 'Welcome Back' sticker on it that wasn't there yesterday.;Villain Story Event 2;Road 3;second scene-setter - NEW (fills original gap);At the rest stop, three trainer-aged Rattata are caged in a Rocket truck with their tails clipped. The trucker, hands shaking, says he just drives.;Wells across the route are running dry - Magma is rerouting groundwater for 'the great drying.' A farmer offers you their last bucket of water for safe passage.;Boats are missing from every dock you've passed - Aqua is impounding civilian fleets 'to give the sea its skin back.';A wall of every town's missing-persons posters is being papered over by Galactic flyers titled 'Closed Account.' The faces are the missing ones.;A Plasma flyer on every billboard reads 'WHO TOLD YOU THEY WANTED TO BE YOURS?' Underneath, in smaller print, sponsored by a foundation with Ghetsis's name on the masthead.;A village is empty. Sandwiches on the table. The sticker on every door is the same color as the one Flare put on you.;A Skull poster reads 'BIG BAD.' The poster is hand-drawn. The hand drew it well. The hand also drew 'MOM PLEASE COME HOME' on the back.;The town's bus shelters are wallpapered with the girl's face, crossed out. Underneath, in smaller print, a hashtag and a record-label logo. Somebody is paying for the harassment.;A Macro Cosmos drone follows you for a full route. It records you losing your composure once. It is reposted on the brand's 'real trainers real stories' channel by morning.;A school bulletin board still has the names of the kids who founded Team Star. Underneath, in small print, the names of the teachers who decided 'kids work it out.';Extra Story Event 2;Road 2;rumor or witness;A traveling broker at the rest stop is buying skulls by weight. He doesn't ask where they come from. Two of his crates are clearly Cubone-sized. One of them is wet.;A man at the rest stop is missing his face. Not scarred - just smooth, with eyes. He's polite. He asks for directions. He thanks you. He walks away.;A child on the route says they had a 'very long nap' yesterday. They are nine. They cannot remember being nine.;A traveler at the rest stop hums a song. You realize halfway through that it is the song from a school assembly you weren't supposed to attend.;A Pikachu costume in a thrift shop window - cheap, stained, three coins. The shopkeeper says it was donated three times by three different kids who said it 'didn't feel right.';A 'lost balloons' board at the rest stop. Every balloon has a kid's name and a date. The dates are weekly. The board is full.;A field guide on the rest stop bench, page open - 'the Paras evolves when the mushroom on its back grows too large for it to carry. The mushroom takes over.' The page is annotated in pencil - 'no - the mushroom never asked permission.';A defunct lab on the route's far end. The door is open. The lab is clean. A clipboard on the wall has 0001 crossed out and 0002 next to it, not yet crossed.
Main Story 3;Road 4;anomaly tightens - stranger knows your starter's name;You feel the road getting long. A traveling stranger gives you a beat-up Lucky Egg and remembers your starter's name without being told. He waves you on without explanation. You don't ask.;Villain Story Event 3;Road 4;plan revealed - precedes Battle 1;A retired night-shift worker hands you a flier from Silph Co. - a list of 'donated test subjects' with dates. Two of them are your age.;A geologist, half-mad with dehydration, shows you Magma's plan - ignite the magma chamber under the region's heart and let it burn the wet world clean.;A coast guard widow shows you Aqua's tide chart. It marks every coastal town in the region with a date and a phrase - 'Returned to the sea.';A Galactic scientist describes the Plan with mathematical calm - end all things, end all pain. He is not joking. He is not sad. He offers you tea.;N - the king. He is gentle. He shows you a wounded Patrat in the route grass and asks why your Pokémon doesn't flinch. He is genuinely asking. He is not okay.;A Flare scientist, hands shaking, hands you the design for the Ultimate Weapon. The blueprint is signed 'for the worthy.' Your name is in the recipient list.;Guzma is in a karaoke booth alone. He's not singing. He's looking at a photo from before. He doesn't see you walk by.;Marnie (or her local stand-in) at the Daycare, holding an Impidimp. She tells you the Team Yell members are her old friends and she doesn't know how to ask them to stop.;A retired pro trainer is at the Fight Club. She is unsponsored now. She is paying for her own food. Her career obit is on the wall - the bio says she retired voluntarily, in Macro Cosmos brand colors.;A Director's office in the school - empty. The Director's resignation letter is dated two years late. The reason given is 'personal.';Extra Story Event 3;Road 3;artefact - an item, journal page, or photo;A diary page on a stump, child's handwriting - 'Mom says when she goes I have to wear hers so I'll remember the weight.' The page is dry. The next page is missing.;A folded photograph in a Pokéball box you found in the route grass. The photograph is of a smiling face. The Pokéball is empty. The face in the photograph is not yours, but you recognize it.;A pendulum on a chain in the route grass. It is warm. It is heavier than it looks. It hums when you put it in your bag. You take it out. It still hums.;A weathered notebook on a stump. A list, in many different handwritings, of names. The last entry is dated yesterday. The handwriting matches yours.;A note in a child's hand pinned inside the costume - 'I just want to be loved like the famous one.' The note is folded so many times the creases are thin.;A balloon string in the route grass. Wrapped around the string is a tiny mitten. The mitten is warm.;A trainer at the route gym desk asks you, casually, what happens when 'the steering driver is not the driver anymore.' She is not talking about Parasect. She is sitting very still.;A diary on the route, locked in a Pokéball case. You can read three pages. The handwriting is rushed, then panicked, then very, very calm - 'if it speaks today, I will not write it down.'
Main Story Battle 1;Road 5;Trainer difficulty per flow CSV - veteran wandering trainer;A wandering veteran trainer challenges you mid-route. Pre-fight - 'You always lose this one.' Post-fight (regardless of outcome) - 'Huh. I was wrong this time.' He doesn't say which time.;Villain Story Battle 1;Road 4;Elite Trainer difficulty - 2-on-2 grunts;Two Rocket grunts block the road, casually splitting the take. They fight in lockstep - these aren't kids playing villain. Lead - Raticate, Golbat.;Two Magma grunts in a dust-cloud they made on purpose. They have learned to fight in heat. Lead - Mightyena, Numel.;Two Aqua grunts in matching bandanas. Their mons reek of salt. Their eyes are red. Lead - Carvanha, Mightyena.;Two Galactic grunts who only speak in arithmetic. They fight in clean, sterile sequences. Lead - Glameow, Stunky.;Two Plasma knights in plate armor. They fight reluctantly. They apologize between attacks. Lead - Watchog, Patrat.;Two Flare grunts in identical haircuts. Their Pokémon are fashion-bred. They have stat lines that don't match what they should look like. Lead - Houndour, Croagunk.;Two Skull grunts try a pincer. They get the geometry wrong. They commit anyway. Their Pokémon are loved. Lead - Salandit, Yungoos.;Two Team Yell members in branded jerseys. They fight you 'for the comeback story' - the brand wants a montage of her training partner beating Yell members. It's an op. Lead - Thievul, Liepard.;Two Macro Cosmos contracted trainers, well-coached, well-fed. They have a publicist. Lead - Boltund, Drednaw.;Two Star members, older now. They are out of school. They are still angry. They fight efficiently and don't trash talk. Lead - Pawmot, Mabosstiff.;Extra Story Event 4;Road 4;narrowed encounter - precedes Mini Raid;A Cubone in the route grass. It doesn't run. It doesn't fight. It walks alongside you for half a route and then stops at a marked stone. The marked stone is unmarked when you look back.;A Yamask in the route grass holds up its mask to your face like a mirror. You see a face you do not have. The Yamask seems disappointed. It puts the mask down.;A Hypno in the route grass, walking. It is leading three children in a row. The children are fine. The children are smiling. The children are not blinking.;A Phantump rises from a tree stump just off the path. It looks at you the way a child looks at someone they remember. Then it hides.;A Mimikyu watches you from the edge of the path. It does not move. It is wearing a Pikachu rag. The rag fits worse than it has ever fit. It is trying.;A Drifloon hovers low near a school crossing. A child is reaching for its string. A teacher is shouting from the other side of the road. The Drifloon waits.;A Paras in the grass walks in a perfect figure-eight. It does not stop. It does not eat. The mushroom is humming.;A psychic afterimage on the route. A trainer rounds the corner - you see them three seconds before they arrive. They do not.
Main Story 4;Road 6;first HARD anomaly - player should notice;Pre-League scene. The world quiets. A Pokédex entry on your starter updates itself - a sentence appears that wasn't there. It reads in YOUR HANDWRITING.;Villain Story Event 4;Road 5;escalation - consequences of Battle 1 land;A funeral cart passes you on the road. A Marowak walks behind it. Nobody acknowledges either. The driver, when you ask, says - 'Rocket did this one. They never stopped.';A village is gone. The Magma flag is planted in the well. A child shows you a stuffed Vulpix and won't say where their parents are.;A coastal village is gone - just a roof, sticking out of a tide pool. A Wingull lands on the roof and won't fly away.;The night sky stutters once, for less than a second, between two roads. A Galactic mathematician on the curb records the stutter and smiles - 'Right on schedule.';A Plasma 'rescue' tent. The mons inside have been released and recaptured by Ghetsis's actual operatives in the back. N is not in the tent. He's two routes ahead, still listening.;A list is being read from a stage. It is the names of the unworthy. It is also long. It also includes you.;A Skull house is being foreclosed by Macro Cosmos paperwork. The grunts are loading what they can carry. One of them is dragging a fridge they will not be able to keep.;An older Yell member is paid in cash by a man with a Macro Cosmos lanyard. The lanyard man notices you. He nods. He is not concerned.;The League official welcome packet arrives early. It is co-branded. It is half a sponsorship offer.;A Star base - converted gym, no adults. A teen runs the kitchen. Another teen mans the door. The third teen is the one who saved the rest. He's twelve.;Extra Story Mini Raid;Road 4;Mini Raid - HP-Threshold Phases plus theme mechanic;A Cubone boss - abnormally large, no Marowak skull yet. Pre-fight it sets a bone club between you, like a courtesy. At 50% HP the skull cracks once. At 25% it falls off and the Cubone meets your eye.;A Yamask boss. At 50% HP it switches to holding YOUR face (player trainer sprite). At 25% the mask is on the ground between you and you take +25% from Ghost moves while you look at it.;A Hypno boss. At 50% every player Pokémon falls asleep at the start of its next turn (pendulum-swing telegraph). At 25% Hypno regenerates 10% HP per turn while any player mon is asleep.;A Phantump boss in a small grove. At 50% the grove grows in (Grassy Terrain locked, telegraphed). At 25% three faces appear in the trees and the Phantump becomes immune to direct attacks for 1 turn (immunity round).;A Mimikyu boss. At 50% the disguise breaks (Mimikyu's actual face is offscreen, the camera flinches). At 25% immunity round - the disguise is mending itself, telegraphed.;A Drifloon boss. At 50% 'the string snaps' - a child laughs offscreen, Drifloon gains Speed +2. At 25% immunity round - the Drifloon takes no damage because 'a smaller hand is holding it.';A Paras boss. At 50% the mushroom blooms (Grass moves +25%). At 25% immunity round - the bug body keeps moving while the mushroom regenerates, no damage but statuses still land.;An 'unfinished' Mewtwo prototype - wounded, smaller. At 50% it speaks (Psychic Terrain locked). At 25% immunity round - it pauses and asks, telepathically, why you are here.
Main Story Battle 2;Road 7;Elite Trainer difficulty - The First foreshadow;A trainer in plain clothes stops you on Road 7. Their team is your starter line plus mons that match yours uncannily. Pre-fight - 'Don't slow down.' Post-fight - they nod once and step aside. You don't see them leave the road.;Villain Story Battle 2;Road 5;Mid-rank Admin - Elite Trainer difficulty;A Rocket admin in a clean black suit. He is not threatening. He's bored. Lead - Houndoom, Gengar.;Tabitha (Magma admin). He's pleased - 'Less than we hoped. More than enough.' Lead - Camerupt, Mightyena.;Shelly (Aqua admin). She's apologetic - 'The sea apologizes too. It just doesn't stop.' Lead - Sharpedo, Crobat.;Mars (Galactic commander). She is amused by your warm Pokémon - 'Yours still loves you. That will be relieved when this is done.' Lead - Purugly, Bronzor.;Anthea or Concordia. She fights only to test you. She tells you in the rest break that you are not the problem. Lead - Gothitelle, Reuniclus.;Aliana (admin). She apologizes for your taste in shoes. She wins it in two turns and then loses it in three. Lead - Mienshao, Druddigon.;Plumeria. She fights for them, not against you. She wants you to lose enough that her kids look strong. Lead - Salazzle, Golisopod.;A senior Yell organizer. He fights with sponsor cash on the table. He doesn't blink when he loses it. Lead - Obstagoon, Toxicroak.;A Macro Cosmos exec who quit his job to fight you 'for the optics.' The optics get away from him. Lead - Copperajah, Centiskorch.;A Star captain - Mela, or local stand-in. She fights you to gauge you. She is not impressed and she is not unimpressed. Lead - Torkoal, Houndstone.;Extra Story Event 5;Road 5;deeper artefact, survivor, or victim;A grandmother in the Daycare asks you to please, please bury her daughter's Cubone if you find it. She gives you a folded letter. She says you'll know when. She's right.;A widow at the Casino has been gambling for six months trying to win enough to commission 'a face that fits her.' She is not joking. She is not crying anymore.;A grief counselor in the Casino's basement runs a 'support group' for the parents. None of them remember why they came. There is hot chocolate. The counselor is a Hypno in a tweed jacket. He greets you by name.;A Phantump leads you to a clearing of small stones, each painted with a child's drawing. There are forty stones. There are forty stories. None of them have endings.;A child at the Casino is winning. He's been winning for hours. He is alone. He is happy. He is wearing the rag.;A balloon vendor at the Casino sells purple balloons in shrink-wrap. He gives them away to children. He says it's policy. He looks at you the same way the Drifloon did.;A puppeteer at the Casino's stage runs a show with no strings. The puppets do not have strings. The puppeteer is asleep. The audience is applauding.;The lab's living-quarters wing in the Casino's restricted floor - three bunks, two stripped, one with a folded uniform and a name patch reading 'Dr. Fuji.' A child's drawing of Mew is taped to the wall above.
Main Story 5;Road 8 (Victory Road);'The First' name surfaces in a hint;A wind picks up the higher you climb. A trainer at the foot of the ascent looks at you and says softly, not a threat - 'Tell The First we said hi.' You don't get to ask who that is.;Villain Story Event 5;Road 6;pre-Mini-Boss scene - victim or insider;A Silph engineer, hiding in the Daycare's back room, gives you a stolen ledger. The page he's marked has only first names, all under twelve.;A Magma scientist in the back of the Fight Club's freezer asks you to kill him before his team finds him. He hands you the device schematic. He has already loaded the device.;A retired sailor in the Casino's back room hands you a single shell. 'Press it to your ear. That's what Archie says he hears at night. He's lying. There's nothing in it.';A captured Uxie shrine is open and empty. The shrine keeper is sitting next to it, not blinking. He asks you the time. You tell him. He thanks you. He asks you again, immediately.;A locked side-room in N's castle wing of the Fight Club - a child's chair, restraints, a stack of journals in N's hand, the last page reading 'father said the friends are practice.';A laboratory in the back of the Department Store. Three preserved trainers in standing cases. The placards read 'Unworthy - kept as warning.';A council of older Skull, men and women in their thirties, in the Fight Club back room. They are not parents. They are the people who told the kids to put the bandana on. They are doing business tonight, not parenting.;A leaked group chat - Yell isn't paying for the harassment. Macro Cosmos is. The brand uses the contrast to sell Marnie as 'the underdog hero.' Marnie has not been told.;An internal document leaks - Macro Cosmos has a 'champion succession plan.' Your name is on it. So is 'The First.';The actual bullies. Adults. They are at a bar in the city, not even hiding. They are also not in trouble. The local authority knows. The local authority is also there.;Extra Story Mini Raid 2;Road 5;Mini Raid 2 - evolved form, harder phase mechanic;A Marowak - the same Cubone, evolved. At 50% HP it gains +1 priority on Bone Club. At 25% the skull breaks and the Marowak does not flinch from any move for 3 turns.;A Cofagrigus - the Yamask that won. At 50% priority on its first move each turn. At 25% immunity round - it 'remembers' for one turn and takes no damage but statuses still land.;A second Hypno dressed in the missing girl's yellow. At 50% priority-locked field (Hypno's moves +1 priority for 5 turns, clock-tick telegraph). At 25% immunity round on the player's strongest mon by Atk stat.;A Trevenant. At 50% priority-locked field (Phantom Force +1 priority). At 25% field becomes 'the forest' - Grass moves empowered and the player is locked into their active Pokémon for 3 turns.;A second Mimikyu costumed as YOUR starter this time. At 50% the field becomes 'the spotlight' - Mimikyu gains +1 priority on Shadow moves. At 25% immunity round.;A Drifblim - the Drifloon, fed. At 50% priority-locked field (Drifblim moves +1 priority for 3 turns, wind-rising telegraph). At 25% field becomes 'high winds' - Flying moves empowered, the player team's Speed drops one stage per turn for 3 turns.;A Parasect - the mushroom in full. At 50% priority-locked field (Grass moves go first for 3 turns, spore-cloud telegraph). At 25% field becomes 'the cap' - Grass and Bug empowered, the player team is confused at end of each turn for 3 turns.;A second prototype - stronger, with a body that does not match its mind. At 50% priority-locked (Psychic moves +1 priority for 3 turns, static-noise telegraph). At 25% field becomes 'the dream of being loved' - Psychic empowered, the player's mons take Sp.Atk drops at end of each turn for 3 turns.
Main Story 6;League (pre-E1);empty portrait at the wall's end;The League city hall has a wall of past Champions' portraits. The one at the end of the row is empty - clean glass, brass nameplate. You don't recognize the empty space.;Villain Story Mini Boss Battle;Road 6;Mini-Boss - HP-Threshold Phases plus theme mechanic, telegraphed;Proton. He uses the lab products on his own team - visibly enhanced mons. Phase mechanic - every 5 rounds he 'doses up' (lead gains +1 Atk for 3 turns, 'INJECTION' banner). Pre-fight - 'We can stop. We won't.';Courtney. Field locked to harsh sunlight, Fire moves empowered. Phase change at 50% HP - switches to a drought-immune lava lead. Pre-fight - an exact, soft, repeated 'Yes.';Matt. Field locked to heavy rain, Water moves empowered. Phase change at 50% HP - Swift Swim setup. At 25% gains +1 priority on every move.;Saturn. Field locked to Psychic Terrain. Phase change at 50% HP - all his Pokémon move on the same turn at +1 priority for one round (telegraph - 'I will move first').;A sage of the Seven. Field mechanic - a rotating type immunity for 5 turns (telegraph - 'the Truth is fire' - Fire moves do nothing, etc.). At 50% HP the immunity locks to the player's most-used type until end of battle.;Bryony or Mable. Field mechanic - every 5 turns one player Pokémon is 'marked unworthy', takes +25% damage from Flare's team for 3 turns. Telegraph by name - '[Mon] doesn't fit our aesthetic.';Plumeria again, or a council elder. Field mechanic - every 5 turns one mon on the field is 'intimidated' (Atk -1, Sp.Atk -1). A council member off-screen yells the mon's name as the telegraph.;The Yell ringleader. Field mechanic - every 5 turns 'Crowd Pressure' drops the player's mon's Sp.Def one stage. Crowd noise rises for one turn before as the telegraph.;A Macro Cosmos VP with an enhanced team - Dynamax-style 'brand power.' Field mechanic - every 5 turns the active Macro Cosmos Pokémon becomes a billboard ('MAX') with Sp.Atk and Atk +2 for 1 turn. Stadium lights go red as the telegraph.;A Star captain. Field mechanic - every 5 turns a 'Starmobile assist' gives the active Pokémon +1 Atk and +1 Speed for one turn. Engine noise as the telegraph.;Extra Story Event 6;Road 6;the truth comes together;A hill outside C6 marked with twenty-seven small cairns. A Marowak is digging the twenty-eighth. The hole is your size.;A morgue clerk in the C6 hospital basement is matching unclaimed bodies to Yamask masks on a corkboard. He thanks you for visiting. He gives you a clean mask wrapped in cloth.;A list of 'naps' in the C6 city archives, kept by a quiet librarian. The list is 314 names long. Yours is on it, dated next Thursday.;A retired teacher in the Fight Club back room knows the song. He has been singing it on his porch every night for thirty years. He says he doesn't know why. He says he can't stop. He asks you to.;A community theater dressing room. Twelve Pikachu costumes on twelve hooks. The thirteenth hook is the right size and the right shape and the hook is empty.;A child's drawing in the C6 city elementary school - a balloon, a smile, an arrow pointing up, an arrow pointing down. Underneath - 'where do they go? if they're not on the string?';The school garden's mushroom bed has grown overnight, four feet tall. The gardener was in there. The mushrooms are quiet about it.;The Director's letter in the C6 archives. Three pages. The third page is blank. At the bottom of the blank page, in graphite, in the Director's hand - '0001 - I'm sorry. I am sorry. I'm - sorry.'
Main Story 7;League (post-E4 pre-Champion);hallway whisper - 'He's tired';After E4, pre-Champion. A staffer in the long hallway whispers without looking up - 'He's tired.' You're not sure who he's referring to.;Villain Story Event 6;Road 7;pre-Boss scene - leader's voice;Giovanni's office in the Silph wing of City 7. He's not in. The desk drawer is empty except for a child's belt. The label has been scratched off.;At the volcano's lip, you can see Maxie outlined against the red. He is not gloating. He is praying.;The harbor wall of City 7 has been cracked from inside. Archie is at the breach. He looks at you and says - 'It's already in. I just opened the door.';Cyrus is at the summit, addressing the sky - 'It will not hurt because there will be no one to feel it. That is the only mercy.';Ghetsis. He is not at the summit. He is at the Pokémon Center. He is healing your Pokémon. He smiles when he hands them back. The healing took longer than it should have.;Lysandre on the rooftop. He recites your accomplishments. He is impressed. He still wants you dead.;Guzma at the top of his sister's old building. He's drunk. He is the last person you expected to be honest with you. He tells you why he wears the skull.;A Macro Cosmos rep at the league city tries to retain you. The retainer is generous. The retainer is also a non-disclosure agreement.;Rose. The chairman. He is courteous. He is genuinely worried about the future. He is also wrong about how to fix it.;Penny - or Cassiopeia, the founder. She is sixteen. She is exhausted. She explains everything in two sentences and then asks you to please leave.;Extra Story Raid;Road 6;Raid - full phases. Phase 3 mechanic at 25%;The Lavender Marowak - the canon-killed mother, in spirit form, blocking the route. Phase 3 at 25% - field becomes 'a remembered place', Cubone-learnset moves deal +50%, the boss takes no damage from physical attacks for 2 turns. Post-raid - it lowers its skull, does not attack, walks past.;The Yamask ancestor - a coffin-bound spirit. Phase 3 at 25% - field becomes 'the wake', Ghost moves +50%, the player team loses 10% max HP per turn (telegraph - 'they will remember you next'). Post-raid - the clean mask in your bag is no longer clean.;The Hypno congregation - one Hypno with the strength of all of them. Phase 3 at 25% - field becomes 'the lullaby', Psychic empowered, the player team has -2 Speed for 3 turns. Post-raid - the pendulum in your bag is gone.;The Trevenant of the grove - the children's tree itself. Phase 3 at 25% - field becomes 'the grove', Grass and Ghost empowered, the player can only switch on KO for 3 turns. Post-raid - the trees in the grove sigh once, all at the same time, then the grove is just a grove.;The Mimikyu - wearing every costume at once. Phase 3 at 25% - field becomes 'the audience', Mimikyu cannot be looked at directly, Ghost and Fairy empowered, the player's Pokémon takes -1 Acc per turn for 3 turns. Post-raid - a child's drawing of a Pikachu is on the floor. It is dry. It is signed.;A Drifblim ascended - the wind itself. Phase 3 at 25% - field becomes 'the climb', Flying and Ghost empowered, the player loses one Pokémon to a 'string break' (faint) at end of each turn for 3 turns (faint-pop telegraph). Post-raid - the lost-balloons board at the rest stop is empty for the first time in years.;The Parasect grove - one Parasect, several bodies. Phase 3 at 25% - field becomes 'the soil', Grass empowered, the player team is poisoned at end of each turn for 3 turns. Post-raid - the school garden's mushrooms are smaller. Not gone.;Mewtwo. Phase 3 at 25% - field becomes 'the lab remembered', Psychic empowered, the player's Pokémon cannot use status moves for 3 turns (glass-breaking telegraph). Post-raid - Mewtwo looks at you for a long time. Mewtwo says, in your head - 'you are kinder than they were.' Mewtwo leaves.
Main Story 8;League (post-Champion);smaller rival;After Champion, pre-Rival final. The Champion congratulates you, then pauses and says - 'The crown isn't the last fight.' Your rival is waiting outside. They look smaller.;Villain Story Boss Battle;Road 7;Boss - full phases. Phase 3 mechanic at 25%, telegraphed;Giovanni. Pre-fight - 'I built this. I will not apologize for it. Show me what you built.' Phase 3 at 25% - 'CALLED IN' - Dark and Ground STAB +25% for 3 turns. Post-fight - he wires you 1,000,000G - 'Cleanup money. Don't pretend you don't need it.';Maxie. Phase 3 at 25% - 'PRIMAL HEAT' - extreme harsh sun, all Fire moves +50%. Maxie is fighting LIKE Groudon is in his head though the Groudon isn't there. Post-fight - 'It was supposed to be a kindness.' He weeps.;Archie. Phase 3 at 25% - 'PRIMORDIAL RAIN' - extreme rain, Water moves +50%. Post-fight - he holds your hand. He thanks you.;Cyrus. Phase 3 at 25% - 'DISTORTION' - priority rules invert, low damage but drains 25% of player team's max HP per turn for 3 turns (telegraphed). Post-fight - Cyrus is silent a long time, then - 'Why are you smiling at me.';Ghetsis. Phase 3 at 25% - 'PRIORITY LOCK' - priority moves locked for the player, Ghetsis's team +1 priority on every move for 3 turns. Post-fight - he is not surprised. He is annoyed.;Lysandre. Phase 3 at 25% - 'THE WEAPON' - for 3 turns the player team takes a hard damage cap each turn (30 dmg max regardless of HP). Telegraphed. Post-fight - 'It was nothing personal. None of this was ever personal.';Guzma. Phase 3 at 25% - 'DEAL' - Bug moves empowered, priority moves +1 priority for 3 turns. Telegraphed by him yelling 'DEAL.' Post-fight - he laughs and then he doesn't.;Marnie's brother (Piers stand-in) - confused, angry, complicit. Phase 3 at 25% - 'SPOTLIGHT' - active Pokémon takes +25% damage and is locked-in (can't switch) for 3 turns. Telegraphed.;Rose / chairman. Phase 3 at 25% - 'CALL THE BRAND' - his Pokémon get a damage cap FLOOR of 60 per hit for 3 turns. Telegraphed by his phone ringing. Post-fight - he apologizes repeatedly while the optics team rolls in and starts cleaning up.;Cassiopeia / Penny. Phase 3 at 25% - 'CALL THE TEAM' - all of her remaining Pokémon get +1 to their lowest stat for 3 turns. Telegraphed by a school bell offscreen.;Extra Story Ending;Road 7;aftermath - what stays, what doesn't;The hill outside C6 has twenty-seven cairns. The twenty-eighth is empty. You don't know which of you was meant to fill it.;The widow at the Casino stops gambling. She does not look in mirrors. She is smiling, finally. You don't want to know.;The missing-persons board at the route stop has fresh posters now. The yellow on the old ones has faded all the way to nothing. The children who came back came back. They do not talk about it.;The teacher stops singing. The list in the notebook does not get longer. The shoe on the path is gone. You do not know who took it.;The thrift shop's window has a Pikachu costume in it. It is in the front. It is in the light. It is still for sale.;A child on Road 7 is holding a balloon. The balloon is purple. The string is short. The child does not let go. You walk past. You do not look back.;The trainer at the route gym desk is gone. Her replacement says she 'took a sabbatical.' Her chair is humming, very faintly. You leave the chair alone.;The lab on the route's far end is sealed. The seal is new. The seal is from this morning. The clipboard inside reads 0001, 0002, 0003. The third name is yours.
