TRAINER TYPES & POOLS (post Phase-3 overhaul). How each trainer is selected and what team it fields.;;;;;
Trainer type;Power level;Typing source;Pool / selection;Signatures?;Notes
Basic Trainer;Basic (weakest);Generated: rolled type - single, or dual ~1/3 of the time (full 18-type + 153-combo coverage);GENERATED on the fly per event (not a fixed roster). Generic class name + sprite reused from existing Basic-Trainer art;NO;Team = pure type-filler from the grade pool. Seeded per (runSeed,eventIdx) = static
Gym Trainer 1;Basic;The upcoming Gym Leader's type;Generated like a Basic Trainer but typing forced to the gym's type;NO;Front-room staff - weaker than GT2
Gym Trainer 2;Elite (= Elite Trainer);The upcoming Gym Leader's type;Generated, gym-typed;NO;Back-room staff - stronger than GT1
Elite Trainer;Elite;The named trainer's theme type;Named NPCs (Blue, Red, Ash, Giovanni, villains...) PLUS every Gym Leader. Everything EXCEPT E1-E4 + Champion;YES;Gym leaders may RECUR here (with their sig roster) even after being fought as a leader. Named elites dedup
Gym Leader;Strong (= Rival);The gym's type;Union pool: any Gym-Leader row can fill any GL1-8 slot. REMOVED from the leader pool once fought (no duplicate LEADER fight);YES;Can still reappear via the Elite Trainer pool. Sig grade-capped to the slot
E1 / E2 / E3 / E4;Tournament;The member's type;Elite Four. Canonical members (Lorelei/Will/Bruno/Lance/Karen...) pinned to their slot when their gen is enabled; rest filled untargeted;YES;Signatures EXEMPT from the grade ceiling (full power)
Champion;Tournament;Mixed/theme;Champion roster (13 candidates);YES;Signatures exempt from grade ceiling
Rival;Strong (= Gym Leader);PURE COUNTER to the player's live party;Locked rival identity per run; team is generated fresh each encounter;NO;Dynamic - re-rolls off the LIVE party. See 08_rival_counter. Nameplate: "<player> Sucks"
Mystery Figure;Tournament;Mixed;Synthetic final boss (post-Gym-8 / endgame), identity from a shipped roster;YES (legendaries);Sigs = Mewtwo/Rayquaza/Dialga/Giratina/Kyogre/Groudon, full battle-ready
;;;;;
TAGGED THEMED TRAINERS;multitype / villain / cursed / eldritch flavor trainers are dispatched only on specific themed-battle rows, not on route/gym-trainer slots.;;;;
