Area;Decision (LOCKED);Rationale / Notes;Canon ref
TITLE;Dark 3-Track Story — Locked Design Decisions;Source of truth is docs/story-design/SENIOR_DESIGN_REVIEW.md Part IV;SDR Part IV
GENERATED;2026-05-31 — general session, design interview with maintainer;Planning artifact. No game-behavior shipped from this session;SDR
Scope;3-track Story per run = main spine + 1 rolled villain arc + 1 rolled extra arc;Story mode (normal) only. Quick Play / PvP / Frontier stay out of scope;SDR I, CLAUDE.md
Level and grind;Fixed level, no grind — power comes from earned unlocks, not farming;Curated spikes, never grind. Gift item is a bounded exception (see EXP-Share);SDR I
Catch philosophy;Train-don-t-catch — rewards are lore-first, no free strong mons;Protects the build-your-team core loop;SDR I
Mystery Figure identity;The First = future-you, training the younger you by losing on purpose;Already canon in code (main.mfReveal, battle.html ~32388);SDR IV.5
MF / NG+ awareness;Escalating loop-aware line keyed to Run number, wearier each cycle;The one Run#-aware narrative element. Deepens The First-s exhaustion;SDR IV.5
MF final battle;A genuine hard wall — fights all-out, you win by having truly grown;The losing forever is the meta-sacrifice across loops, not a thrown match. Magnitude = maxwell;SDR IV.12
Main-spine surface tone;Clean and hopeful with faint unease, then a gut-punch at the reveal;Maximizes the iceberg payoff. Distinct from the dark extra track;SDR IV.6
Loop scaling;Same arc pool every run, reshuffled by seed — no Run#-gated content;Nothing is ever missed. The sameness IS the horror. No NG+ content gates;SDR IV.5
Arc legibility;Discover through play — NO tracker / journal UI;All flow legibility rests on the aftermath-hook chaining being unmistakable;SDR IV.5
Arc engagement;Mix — spine beats (grunt/admin/boss, raid) auto-fire on travel; flavor beats opt-in;Guarantees each arc-s spine, leaves texture discoverable. Matches no-tracker;SDR IV.10
Villain arc pacing;Spread across the run — grunt early-mid, admin mid, boss ~Road 7;Arc breathes across the journey; boss scales into a late wall;SDR IV.10
Villain treatment;Canon-faithful premise, dark/satiric RETELLING (e.g. Rocket as dark corporate);Follow each team-s own canon story beats; tone is ours;SDR IV.8
Villain voice and humor;Per-arc, matched to each team-s own canon tone — not uniform;Banal-bureaucratic where it bites, charismatic/sympathetic where canon supports;SDR IV.8, IV.11
Extra treatment;Creepypasta satirical DECONSTRUCTION — twist/subvert, not a faithful retell;Lean on each mon-s known dark fan-lore, then deconstruct;SDR IV.6, IV.10
Extra voice;Bleak and sincere — grotesque horror, no comic relief;Distinct lane from the satiric villain track;SDR IV.8
Raid framing;A solo-boss Pokemon is a victim/tragedy — cursed, grieving, experimented-on;You fight something to mourn, not a monster to beat;SDR IV.8
Raid resolution;Laid to rest, no catch — winning is a release; creature dies or moves on;Pure pathos; keeps rewards lore-only; protects train-don-t-catch;SDR IV.10
Satire targets;Tech/techno-autocracy, influencer/clout, institutional rot, wellness/cult;Distributed THROUGH the canon teams, not a single soapbox;SDR IV.8
Apocalypse;Never shown — stays a referenced absence (the warning, the Frontier welcome);Ambiguity over spectacle; reinforces sameness-is-the-horror;SDR IV.8
Professor;Morally gray, NOT evil — open to interpretation, never resolved villain or saint;Stays a usable warm quest-hub; player reads their complicity for themselves;SDR IV.9
Rival;A tragic figure the system grinds down — a striver who loses anyway;Human cost of the dystopia vs the player-s looping persistence. pasteur owns char;SDR IV.9
Player character;Self-insert, minimal fixed identity — a near-blank you project onto;So you become The First lands as personally as possible;SDR IV.9
Loop seeds;Deniable — notice-but-rationalize (Welcome Back sticker, your handwriting in dex);Itchy enough to pay off on reveal, deniable enough to keep the surface clean;SDR IV.9, PR-7
Arc reward base;Lore/story only — most arcs reward narrative, not items;Two arcs carry flagship item capstones (below);SDR IV.7
Reward — villain;Villain boss -> Master Ball, framed as salvaged villain tech (already shipped);Recovered among the spoils of the HQ. No code reassignment;SDR IV.7, IV.12
Reward — extra;Extra raid -> EXP-Share gift, handed over by a grateful NPC (not a creature-drop);In-fiction = a dead trainer-s own EXP-Share. Delivery fixed; mechanic revived;SDR IV.7, IV.12
EXP-Share gift mechanic;6 distributable level-units, max 3 per mon, party+PC, refund over cap;Revives cut PR-5 voucher (ISSUE-243) as a permBoost-based permanent buff;SDR IV.7
EXP-Share gift caveats;Needs game-behavior sign-off + SAVE_VER bump; magnitude (stats/unit) = maxwell;Reuse permBoost layer (~34777) + Fight-Club +stat bonus (~44839). Not level-grind;SDR IV.7
Optional flavor beats;Curated standalone dark vignettes, independent of the rolled arcs;Attach via the INTERRUPTS bus, never by array index. Deepens discover-through-play;SDR IV.11
Beat text length;Terse by default; marquee beats (boss, reveal, raid death) go long/multi-page;Momentum by default, weight when earned;SDR IV.11
Loss handling;Dark loss line, then win-to-progress — losing a key beat fires a creepy outro;Arc still gates on a win. One extra writing pass per beat, not a full branch;SDR IV.5
Boss gimmick ladder;0/2/3 simple gimmicks by tier, from 3 reusable mechanic archetypes;Data layer exists (BOSS_CONFIGS); engine wiring is a build task. Magnitude = maxwell;SDR IV.3, 3TRACK PR-5
Dark intensity;High — art not edge. Thought-provoking and sarcastic/satiric, never shock-for-shock;The Lavender Town / Buried Alive lineage. +18 by design;SDR IV.6
Dark content gating;Always-on, no toggle — one uncompromised vision, every run rolls its extra arc;No clean-mode switch, no opt-in/opt-out;SDR IV.12
Build process;Plan here -> hand off a build pack, built vertical-slice-first;One villain arc end-to-end before scaling to all 18. See MASTER_12 + HANDOFF md;SDR IV.12
