C0;Road 0;C1;Road 1;C2;Road 2;C3;Road 3;C4;Road 4;C5;Road 5;C6;Road 6;C7;Road 7;C8;Road 8 (Victory Road);C9 (League City);League
Game Intro;How to Battle Intro;Pokémon Center Intro;Wild Encounter;Professor Intro;Wild Encounter;Stone Shop Intro;Wild Encounter;Department Store Intro;Wild Encounter;Poké Casino Intro;Wild Encounter;Fight Club Intro (sends to the Daycare special dialogue to unlock Fight Club);Wild Encounter;EV Trainer Intro;Wild Encounter;Battle Dojo - Grandmaster Intro;Roaming Legendary Sighting Cinematic;Department Store (all services);Main Story Event 6
Professor Intro;Rival Intro;Party Sort Intro;Main Story Event 1;Link Station Intro;Villain Story Event 1 [gated];Gym 3 Welcome;Main Story Event 2;Move Tutor - Stage-Up Intro;Villain Story Event 3 [gated];Gym 5 Welcome;Main Story Event 3;Colress (Power-Up) Intro;Villain Story Event 5 [gated];Gym 7 Welcome;Main Story Event 4;Gym 8 Welcome;Roaming Legendary Catch Encounter;Pokémon Center Auto-Heal;Pre-E1 Dialogue
Professor Pick (starter);Rival Match Pre-Battle Dialogue;Nature Rater Intro;Extra Story Event 1 [gated];Stone Sage (Awakening) Intro;Extra Story Event 2 [gated];Gym Trainer 3 Pre-Battle Dialogue;Villain Story Event 2 [gated][NEW];Battle Dojo - Black Belt Intro;Pre-Villain Battle 1 Dialogue [gated];Gym Trainer 5 Pre-Battle Dialogue;Pre-Main Battle 1 Dialogue;Daycare (visited);Pre-Mini Boss Dialogue [gated];Gym Trainer 7 Pre-Battle Dialogue;Pre-Main Battle 2 Dialogue;Gym Trainer 8 Pre-Battle Dialogue;Main Story Event 5 (Victory Road scene);Pre-League Preparation Event;E1 (Elite Four 1)
Move Tutor Intro;Rival Match (C0 Gym-Leader difficulty);Battle Dojo - White Belt Intro;Pre-Battle Dialogue (Basic);Stone Shop Intro;Pre-Battle Dialogue (Basic);Gym Trainer 3;Extra Story Event 3 [gated];Safari Zone Intro;Villain Story Battle 1 [gated];Gym Trainer 5;Main Story Battle 1;Gym 6 Welcome;Villain Story Mini Boss Battle [gated];Gym Trainer 7;Main Story Battle 2;Gym Trainer 8;Pre-Elite Trainer Dialogue;Enter Pokémon League;Post-E1 Dialogue
Pokémart Intro;Rival Match Post-Battle Dialogue;Pokémon Fan Club (IV train) Intro;Basic Trainer;Daycare Intro (C2 first-time only);Basic Trainer;Gym Trainer 3 Post-Battle Dialogue;Pre-Rival Battle Dialogue;EV Trainer Intro;Post-Villain Battle 1 Dialogue [gated];Gym Trainer 5 Post-Battle Dialogue;Post-Main Battle 1 Dialogue;Gym Trainer 6 Pre-Battle Dialogue;Post-Mini Boss Dialogue [gated];Gym Trainer 7 Post-Battle Dialogue;Post-Main Battle 2 Dialogue;Gym Trainer 8 Post-Battle Dialogue;Elite Trainer;-;Pre-E2 Dialogue
Bag Intro;Wild Encounter Catch Intro;Gym 1 Welcome;Post-Battle Dialogue;Gym 2 Welcome;Post-Battle Dialogue;Gym Leader 3 Pre-Battle Dialogue;Rival Match (mid-game);Daycare (visited - no re-intro);Extra Story Event 4 [gated];Gym Leader 5 Pre-Battle Dialogue;Villain Story Event 4 [gated];Gym Trainer 6;Extra Story Event 6 [gated];Gym Leader 7 Pre-Battle Dialogue;Villain Story Event 6 [gated];Gym Leader 8 Pre-Battle Dialogue;Post-Elite Trainer Dialogue;-;E2
Relic Annex Intro;Wild Encounter;Gym Trainer 1 Pre-Battle Dialogue;Pre-Battle Dialogue (Basic);Gym Trainer 2 Pre-Battle Dialogue;Basic Trainer;Gym Leader 3;Post-Rival Battle Dialogue;Gym 4 Welcome;Pre-Mini Raid Dialogue [gated];Gym Leader 5;Pre-Villain Battle 2 Dialogue [gated];Gym Trainer 6 Post-Battle Dialogue;Pre-Raid Dialogue [gated];Gym Leader 7;Pre-Villain Boss Dialogue [gated];Gym Leader 8;Pre-Elite Trainer Dialogue;-;Post-E2 Dialogue
Artifact Hall Intro;Battle Intro (Basic Trainer);Gym Trainer 1 (C1 difficulty);Basic Trainer;Gym Trainer 2;Post-Battle Dialogue;Gym Leader 3 Post-Battle Dialogue;Pre-Battle Dialogue (Basic);Gym Trainer 4 Pre-Battle Dialogue;Extra Story Mini Raid [gated];Gym Leader 5 Post-Battle Dialogue;Villain Story Battle 2 [gated];Gym Leader 6 Pre-Battle Dialogue;Extra Story Raid [gated];Gym Leader 7 Post-Battle Dialogue;Villain Story Boss Battle [gated];Gym Leader 8 Post-Battle Dialogue (badges done);Elite Trainer;-;Pre-E3 Dialogue
Leave city;Trainer Battle (Basic);Gym Trainer 1 Post-Battle Dialogue;Post-Battle Dialogue;Gym Trainer 2 Post-Battle Dialogue;Wander Around;Leave city;Basic Trainer;Gym Trainer 4;Post-Mini Raid Dialogue [gated];Leave city;Post-Villain Battle 2 Dialogue [gated];Gym Leader 6;Post-Raid Dialogue [gated];Leave city;Post-Villain Boss Dialogue [gated];Roaming Legendary Sighting Queued;Post-Elite Trainer Dialogue;-;E3
-;Battle Outro;Gym Leader 1 Pre-Battle Dialogue;Wander Around (max 3 tries - 50/25/12.5% encounter chance);Gym Leader 2 Pre-Battle Dialogue;Arrive City Event (C3);-;Post-Battle Dialogue;Gym Trainer 4 Post-Battle Dialogue;Pre-Battle Dialogue (Basic);-;Extra Story Event 5 [gated];Gym Leader 6 Post-Battle Dialogue;Pre-Rival Battle Dialogue;-;Villain Story Ending [gated];Leave city (to Victory Road);Pre-Elite Trainer Dialogue (optional 3rd);-;Post-E3 Dialogue
-;Wander Around;Gym Leader 1 (C1 difficulty);Pre-Battle Dialogue (Basic);Gym Leader 2;-;-;Pre-Battle Dialogue (Basic);Gym Leader 4 Pre-Battle Dialogue;Basic Trainer (yield if cap exceeded);-;Pre-Mini Raid 2 Dialogue [gated];Leave city;Rival Match (late mid-game);-;Extra Story Ending [gated];-;Elite Trainer (optional 3rd);-;E4
-;Arrive City Event (C1);Gym Leader 1 Post-Battle Dialogue (badge);Basic Trainer (yield if cap exceeded);Gym Leader 2 Post-Battle Dialogue;-;-;Basic Trainer (yield if cap exceeded);Gym Leader 4;Post-Battle Dialogue;-;Extra Story Mini Raid 2 [gated];-;Post-Rival Battle Dialogue;-;Pre-Elite Trainer Dialogue;-;Post-Elite Trainer Dialogue;-;Post-E4 Dialogue
