SIGNATURE / ACE POKEMON RULES (rollTrainerTeam). Applies to Gym Leaders, Elite Trainers, E1-E4, Champion.;
Rule;Detail
Source;trainer.sigs in TRAINER_DATA (the trainer's identity aces)
Multiset;sigs MAY repeat (e.g. Lance x3 Dragonite). Each instance occupies one slot; picking consumes one (2 left after 1 of 3). Engine supports it; current data uses single entries
Grade scaling (devolve);A sig stronger than the row's grade ceiling DEVOLVES to the strongest form that fits instead of being dropped. Venusaur -> Ivysaur (G3 ceiling) -> Bulbasaur (G4 ceiling)
Gen-illegal fallback chain;1) nearest gen-LEGAL form in the sig's own evo line (Magnezone gen4 -> Magneton gen1 in a gen-1 run). If none: 2) another unused signature. 3) a mon sharing the sig's full type. 4) a mon of either of the sig's types. 5) the trainer's theme type. 6) random
Grade-ceiling exempt events;E1-E4, Champion, Mystery Figure, and eldritch-tagged trainers SKIP the grade ceiling - their sigs roll at full power
Evolution-stage cap;Early cities also cap sig evo-stage (Basic / Stage1+Basic / ALL); over-evolved sigs devolve to fit the city rather than vanish
Gym Leader top-up;If a leader's post-ceiling sig pool is thin, it's topped up with type-matched mons at the slot's grade so the leader still reads as a full themed roster
Sig probability;Per-slot chance to place a signature vs filler, scaled by event type + difficulty
SIGNATURE JOURNAL (Collection > Signatures tab);
Tracks;Every Gym Leader / Elite Four / Champion / Elite Trainer that HAS signatures
Per trainer;Faced or not (??? until faced) + per-sig: seen (the exact species appeared) or locked
Gen hint;Each unseen sig shows the Gen it belongs to (what gen you must enable to encounter it). Devolved/fallback forms do NOT mark the canonical sig seen, so high-tier aces stay locked until a run reaches them
Storage;meta.sigJournal (cross-run save)
ANCHORS;_genLegalEvoLineForm, _devolveSigToGradeCeiling, _filterSigsByGradeCeiling, _storyApplySigEncounter, _storyBuildSignatureRegistry
